"index_type","index_txt"
"2","长沙"
"1","操作"
"1","药交所产品分类"
"1","分类管理-测试-张茂英"
"1","日用品"
"1","知识库本体"
"1","食用杂碎"
"1","器械联合体合同"
"2","商务厅"
"","江西"
"","产业促进中心"
"1","药品红票列表"
"1","稻草"
"1","食用杂碎"
"1","宝石"
"1","修改手机号码"
"1","开立专用资金账户"
"1","肥料"
"1","硫磺"
"3","日用品"
"3","名字"
"1","人造毛皮"
"2","产业促进中心"
"2","江西省人民政府"
"2","中华人民共和国商务部"
"1","绿色"
"1","食品添加物"
"3","配送会员"
"2","产业促进中心"
"3","操作"
"3","药交所产品分类"
"2","爆哭"
"2","笑死"
"2","钟表学家"
"1","钟表"
"1","钟表附件"
"3","日用品"
"3","名字"
"1","稻草"
"1","硫磺"
"1","表格"
"3","what"
"3","填写"
"3","微信银行绑定一卡通"
"1","开通“周转易”功能"
"3","实盘买卖"
"3","实体黄金"
"3","证券"
"3","外汇"
"1","开立专用资金账户"
"1","食用杂碎"
"1","石料、石膏、水泥、石棉、云母及类似材料制品"
"3","你好"
"3","名字"
"3","爱好"
"3","what"
"3","资料"
"3","开户"
"1","毛皮"
"3","本人"
"3","他人"
"3","可否"
"3","办理"
"3","客户信息更改"
"3","where"
"3","办理"
"3","打印交易流水"
"1","钟表附件"
"3","是否"
"3","收费"
"3","到期换卡"
"3","透支"
"3","信用卡"
"3","how"
"3","线下"
"3","密码"
"3","where"
"3","how"
"3","重置"
"3","办理"
"3","支付"
"3","网上支付密码重置"
"3","额度"
"3","每日限额"
"3","现金"
"3","ATM"
"3","how much"
"3","最高"
"3","取"
"1","开立专用资金账户"
"1","药品红票列表"
"1","药品红票列表"
"1","稻草"
"1","开立专用资金账户"
"1","开立专用资金账户"
"1","药品红票列表"
"1","稻草"
"1","药品红票列表"
"1","稻草"
"1","器械联合体合同"
"1","肥料"
"1","开立专用资金账户"
"1","硫磺"
"2","键入"
"2","英语"
"1","人造毛皮"
"3","日用品"
"3","名字"
"1","开立专用资金账户"
"1","药品红票列表"
"1","肥料"
"3","自我介绍"
"1","产品线管理"
"1","产品如何挂牌"
"1","开立专用资金账户"
"1","药品红票列表"
"1","开立专用资金账户"
"1","药品红票列表"
"3","自我介绍"
"2","采购"
"2","菜单"
"2","计划"
"2","登录"
"2","选择"
"3","名字"
"3","你好"
"3","操作"
"2","点击"
"2","销售"
"2","菜单"
"2","计划"
"2","登录"
"3","账户"
"3","where"
"3","开户"
"3","开"
"3","零存整取"
"2","点击"
"2","销售"
"2","地址"
"2","微信"
"2","菜单"
"2","计划"
"2","登录"
"2","花儿"
"2","什么"
"2","口岸"
"2","玩意"
"2","电子"
"2","场景"
"2","口岸"
"2","问题"
"2","电子"
"1","水果"
"2","水果"
"2","喜欢"
"2","销售"
"2","新增"
"2","计划"
"3","VISA"
"3","Master"
"2","重庆"
"2","西南部"
"2","西部"
"2","长江"
"2","工商业"
"2","商贸"
"2","西南"
"2","所有"
"2","维宾斯基"
"2","贫困"
"2","采购"
"2","新增"
"2","计划"
"2","富人"
"2","富人"
"2","富人"
"3","可否"
"3","可以"
"3","问法"
